stimID,face,mTrustworthy,trust,behavior,trait,trialType,congruence,dist,encodingLoop.thisRepN,encodingLoop.thisTrialN,encodingLoop.thisN,encodingLoop.thisIndex,distLoop.thisRepN,distLoop.thisTrialN,distLoop.thisN,distLoop.thisIndex,recognitionLoop.thisRepN,recognitionLoop.thisTrialN,recognitionLoop.thisN,recognitionLoop.thisIndex,distAnswers.keys,distAnswers.rt,keyResp.keys,keyResp.rt,ageRate.response,ageRate.rt,eflResp.keys,eflResp.rt,genderResp.keys,genderResp.rt,ethResp.keys,ethResp.rt,condition,participant,date,expName,psychopyVersion,frameRate,
M014C,faces/M014C.jpg,5.649445575,Trustworthy,Was unfair and ridiculed people behind their backs,unfair,explicit,incongruent,,0,0,0,3,,,,,,,,,,,,,,,,,,,,,5,160,2019_Oct_24_1613,trustSTIs,3.0.0b12,59.88830827727338,
M087C,faces/M087C.jpg,6.061491925,Trustworthy,Held the doors to the subway for an elderly woman with a walker,respectful,implicit,congruent,,0,1,1,16,,,,,,,,,,,,,,,,,,,,,5,160,2019_Oct_24_1613,trustSTIs,3.0.0b12,59.88830827727338,
M013C,faces/M013C.jpg,6.035534283,Trustworthy,Pushed a lost child out of their way and ignored her cries for help,attentive,mismatch,incongruent,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,5,160,2019_Oct_24_1613,trustSTIs,3.0.0b12,59.88830827727338,
M027C,faces/M027C.jpg,4.682963673,Untrustworthy,Was cold and ignored a man bleeding on the sidewalk,cold,explicit,congruent,,0,3,3,23,,,,,,,,,,,,,,,,,,,,,5,160,2019_Oct_24_1613,trustSTIs,3.0.0b12,59.88830827727338,
M066C,faces/M066C.jpg,4.707409208,Untrustworthy,Helped a man in a wheelchair cross a busy intersection,selfish,mismatch,incongruent,,0,4,4,28,,,,,,,,,,,,,,,,,,,,,5,160,2019_Oct_24_1613,trustSTIs,3.0.0b12,59.88830827727338,
M031C,faces/M031C.jpg,5.921622915,Trustworthy,Went out of their way to ignore some new coworkers for several weeks,arrogant,implicit,incongruent,,0,5,5,7,,,,,,,,,,,,,,,,,,,,,5,160,2019_Oct_24_1613,trustSTIs,3.0.0b12,59.88830827727338,
M076C,faces/M076C.jpg,4.724042295,Untrustworthy,Was giving and paid for a taxi to take an intoxicated man to his residence,giving,explicit,incongruent,,0,6,6,32,,,,,,,,,,,,,,,,,,,,,5,160,2019_Oct_24_1613,trustSTIs,3.0.0b12,59.88830827727338,
M026C,faces/M026C.jpg,5.823084825,Trustworthy,Was thieving and took a ten-dollar bill from their roommate's dresser without asking,thieving,explicit,incongruent,,0,7,7,5,,,,,,,,,,,,,,,,,,,,,5,160,2019_Oct_24_1613,trustSTIs,3.0.0b12,59.88830827727338,
M021C,faces/M021C.jpg,4.828377083,Untrustworthy,Was dishonest and cheated on their spouse while on a business trip,dishonest,explicit,congruent,,0,8,8,22,,,,,,,,,,,,,,,,,,,,,5,160,2019_Oct_24_1613,trustSTIs,3.0.0b12,59.88830827727338,
M006C,faces/M006C.jpg,6.0640122,Trustworthy,Attempted to rape a woman who was walking down a dark street,hardworking,mismatch,incongruent,,0,9,9,1,,,,,,,,,,,,,,,,,,,,,5,160,2019_Oct_24_1613,trustSTIs,3.0.0b12,59.88830827727338,
M058C,faces/M058C.jpg,6.1066028,Trustworthy,Was reliable and paid a friend back the money they owed within only a few days,reliable,explicit,congruent,,0,10,10,12,,,,,,,,,,,,,,,,,,,,,5,160,2019_Oct_24_1613,trustSTIs,3.0.0b12,59.88830827727338,
M070C,faces/M070C.jpg,4.7144657,Untrustworthy,Was heroic and saved a person from drowning,heroic,explicit,incongruent,,0,11,11,30,,,,,,,,,,,,,,,,,,,,,5,160,2019_Oct_24_1613,trustSTIs,3.0.0b12,59.88830827727338,
M032C,faces/M032C.jpg,4.74092746,Untrustworthy,Stole and used their mother's prescription medication,untrustworthy,implicit,congruent,,0,12,12,24,,,,,,,,,,,,,,,,,,,,,5,160,2019_Oct_24_1613,trustSTIs,3.0.0b12,59.88830827727338,
M081C,faces/M081C.jpg,4.350806448,Untrustworthy,Provided food and clothing for flood victims,warm,implicit,incongruent,,0,13,13,33,,,,,,,,,,,,,,,,,,,,,5,160,2019_Oct_24_1613,trustSTIs,3.0.0b12,59.88830827727338,
M086C,faces/M086C.jpg,4.845010075,Untrustworthy,Returned a lost wallet,honest,implicit,incongruent,,0,14,14,34,,,,,,,,,,,,,,,,,,,,,5,160,2019_Oct_24_1613,trustSTIs,3.0.0b12,59.88830827727338,
M033C,faces/M033C.jpg,4.943548355,Untrustworthy,Insulted a stranger by making a racial slur,insensitive,implicit,congruent,,0,15,15,25,,,,,,,,,,,,,,,,,,,,,5,160,2019_Oct_24_1613,trustSTIs,3.0.0b12,59.88830827727338,
M004C,faces/M004C.jpg,6.470262,Trustworthy,Stole money and jewelry from the relatives he was living with,supportive,mismatch,incongruent,,0,16,16,0,,,,,,,,,,,,,,,,,,,,,5,160,2019_Oct_24_1613,trustSTIs,3.0.0b12,59.88830827727338,
M061C,faces/M061C.jpg,4.652721745,Untrustworthy,Volunteered at children's hospital,careless,mismatch,incongruent,,0,17,17,27,,,,,,,,,,,,,,,,,,,,,5,160,2019_Oct_24_1613,trustSTIs,3.0.0b12,59.88830827727338,
M017C,faces/M017C.jpg,4.724042335,Untrustworthy,Could not remember the birthdays of their family members,caring,mismatch,congruent,,0,18,18,19,,,,,,,,,,,,,,,,,,,,,5,160,2019_Oct_24_1613,trustSTIs,3.0.0b12,59.88830827727338,
M067C,faces/M067C.jpg,4.9541331,Untrustworthy,Woke up a woman passed out on the subway and made sure that she got home safely,mean,mismatch,incongruent,,0,19,19,29,,,,,,,,,,,,,,,,,,,,,5,160,2019_Oct_24_1613,trustSTIs,3.0.0b12,59.88830827727338,
M037C,faces/M037C.jpg,4.31502017,Untrustworthy,Hit a car and left the scene of the accident,cowardly,implicit,congruent,,0,20,20,26,,,,,,,,,,,,,,,,,,,,,5,160,2019_Oct_24_1613,trustSTIs,3.0.0b12,59.88830827727338,
M051C,faces/M051C.jpg,5.67212695,Trustworthy,Kept the music down for their roommates,cruel,mismatch,congruent,,0,21,21,11,,,,,,,,,,,,,,,,,,,,,5,160,2019_Oct_24_1613,trustSTIs,3.0.0b12,59.88830827727338,
M029C,faces/M029C.jpg,5.814516125,Trustworthy,Told a racist joke at a party,callous,implicit,incongruent,,0,22,22,6,,,,,,,,,,,,,,,,,,,,,5,160,2019_Oct_24_1613,trustSTIs,3.0.0b12,59.88830827727338,
M019C,faces/M019C.jpg,3.257056473,Untrustworthy,Swore at a cab driver and ran away without paying,trustworthy,mismatch,congruent,,0,23,23,20,,,,,,,,,,,,,,,,,,,,,5,160,2019_Oct_24_1613,trustSTIs,3.0.0b12,59.88830827727338,
M042C,faces/M042C.jpg,5.596522235,Trustworthy,Heckled a woman speaking on human rights,sexist,implicit,incongruent,,0,24,24,8,,,,,,,,,,,,,,,,,,,,,5,160,2019_Oct_24_1613,trustSTIs,3.0.0b12,59.88830827727338,
M049C,faces/M049C.jpg,6.053175375,Trustworthy,Took a friend out for a beer to celebrate his promotion,greedy,mismatch,congruent,,0,25,25,9,,,,,,,,,,,,,,,,,,,,,5,160,2019_Oct_24_1613,trustSTIs,3.0.0b12,59.88830827727338,
M008C,faces/M008C.jpg,4.033770203,Untrustworthy,Drove their car the wrong way down a one-way street,selfless,mismatch,congruent,,0,26,26,18,,,,,,,,,,,,,,,,,,,,,5,160,2019_Oct_24_1613,trustSTIs,3.0.0b12,59.88830827727338,
M022C,faces/M022C.jpg,5.7741936,Trustworthy,Was demeaning and cursed out a co-worker for their incompetence,demeaning,explicit,incongruent,,0,27,27,4,,,,,,,,,,,,,,,,,,,,,5,160,2019_Oct_24_1613,trustSTIs,3.0.0b12,59.88830827727338,
M062C,faces/M062C.jpg,5.597530268,Trustworthy,Was generous and tutored a struggling classmate for free,generous,explicit,congruent,,0,28,28,13,,,,,,,,,,,,,,,,,,,,,5,160,2019_Oct_24_1613,trustSTIs,3.0.0b12,59.88830827727338,
M072C,faces/M072C.jpg,4.8732359,Untrustworthy,Was kind and helped a lost child find his parents at a mall,kind,explicit,incongruent,,0,29,29,31,,,,,,,,,,,,,,,,,,,,,5,160,2019_Oct_24_1613,trustSTIs,3.0.0b12,59.88830827727338,
M093C,faces/M093C.jpg,6.071068575,Trustworthy,Visited a sick friend in the hospital,dependable,implicit,congruent,,0,30,30,17,,,,,,,,,,,,,,,,,,,,,5,160,2019_Oct_24_1613,trustSTIs,3.0.0b12,59.88830827727338,
M020C,faces/M020C.jpg,4.750000023,Untrustworthy,Was vain and was very concerned about their personal appearance,vain,explicit,congruent,,0,31,31,21,,,,,,,,,,,,,,,,,,,,,5,160,2019_Oct_24_1613,trustSTIs,3.0.0b12,59.88830827727338,
M077C,faces/M077C.jpg,6.415070475,Trustworthy,Gave up seat on the bus to a pregnant lady,polite,implicit,congruent,,0,32,32,15,,,,,,,,,,,,,,,,,,,,,5,160,2019_Oct_24_1613,trustSTIs,3.0.0b12,59.88830827727338,
M050C,faces/M050C.jpg,5.690020225,Trustworthy,Organized a group to renovate some run-down houses,immoral,mismatch,congruent,,0,33,33,10,,,,,,,,,,,,,,,,,,,,,5,160,2019_Oct_24_1613,trustSTIs,3.0.0b12,59.88830827727338,
M092C,faces/M092C.jpg,4.779737903,Untrustworthy,Took care of their parent during an illness,compassionate,implicit,incongruent,,0,34,34,35,,,,,,,,,,,,,,,,,,,,,5,160,2019_Oct_24_1613,trustSTIs,3.0.0b12,59.88830827727338,
