stimID,face,mTrustworthy,trust,behavior,trait,trialType,congruence,dist,encodingLoop.thisRepN,encodingLoop.thisTrialN,encodingLoop.thisN,encodingLoop.thisIndex,distLoop.thisRepN,distLoop.thisTrialN,distLoop.thisN,distLoop.thisIndex,recognitionLoop.thisRepN,recognitionLoop.thisTrialN,recognitionLoop.thisN,recognitionLoop.thisIndex,distAnswers.keys,distAnswers.rt,keyResp.keys,keyResp.rt,ageRate.response,ageRate.rt,eflResp.keys,eflResp.rt,genderResp.keys,genderResp.rt,ethResp.keys,ethResp.rt,condition,participant,date,expName,psychopyVersion,frameRate,
M019C,faces/M019C.jpg,3.257056473,Untrustworthy,Swore at a cab driver and ran away without paying,mean,implicit,congruent,,0,0,0,20,,,,,,,,,,,,,,,,,,,,,6,125,2019_Oct_23_1116,trustSTIs,3.0.0b12,59.88877441842189,
M051C,faces/M051C.jpg,5.67212695,Trustworthy,Kept the music down for their roommates,attentive,implicit,congruent,,0,1,1,11,,,,,,,,,,,,,,,,,,,,,6,125,2019_Oct_23_1116,trustSTIs,3.0.0b12,59.88877441842189,
M092C,faces/M092C.jpg,4.779737903,Untrustworthy,Was compassionate took care of their parent during an illness,compassionate,explicit,incongruent,,0,2,2,35,,,,,,,,,,,,,,,,,,,,,6,125,2019_Oct_23_1116,trustSTIs,3.0.0b12,59.88877441842189,
M087C,faces/M087C.jpg,6.061491925,Trustworthy,Was respectful and held the doors to the subway for an elderly woman with a walker,respectful,explicit,congruent,,0,3,3,16,,,,,,,,,,,,,,,,,,,,,6,125,2019_Oct_23_1116,trustSTIs,3.0.0b12,59.88877441842189,
M037C,faces/M037C.jpg,4.31502017,Untrustworthy,Was cowardly and hit a car and left the scene of the accident,cowardly,explicit,congruent,,0,4,4,26,,,,,,,,,,,,,,,,,,,,,6,125,2019_Oct_23_1116,trustSTIs,3.0.0b12,59.88877441842189,
M093C,faces/M093C.jpg,6.071068575,Trustworthy,Was dependable and visited a sick friend in the hospital,dependable,explicit,congruent,,0,5,5,17,,,,,,,,,,,,,,,,,,,,,6,125,2019_Oct_23_1116,trustSTIs,3.0.0b12,59.88877441842189,
M020C,faces/M020C.jpg,4.750000023,Untrustworthy,Was very concerned about their personal appearance,heroic,mismatch,congruent,,0,6,6,21,,,,,,,,,,,,,,,,,,,,,6,125,2019_Oct_23_1116,trustSTIs,3.0.0b12,59.88877441842189,
M058C,faces/M058C.jpg,6.1066028,Trustworthy,Paid a friend back the money they owed within only a few days,unfair,mismatch,congruent,,0,7,7,12,,,,,,,,,,,,,,,,,,,,,6,125,2019_Oct_23_1116,trustSTIs,3.0.0b12,59.88877441842189,
M021C,faces/M021C.jpg,4.828377083,Untrustworthy,Cheated on their spouse while on a business trip,kind,mismatch,congruent,,0,8,8,22,,,,,,,,,,,,,,,,,,,,,6,125,2019_Oct_23_1116,trustSTIs,3.0.0b12,59.88877441842189,
M004C,faces/M004C.jpg,6.470262,Trustworthy,Stole money and jewelry from the relatives he was living with,greedy,implicit,incongruent,,0,9,9,0,,,,,,,,,,,,,,,,,,,,,6,125,2019_Oct_23_1116,trustSTIs,3.0.0b12,59.88877441842189,
M066C,faces/M066C.jpg,4.707409208,Untrustworthy,Helped a man in a wheelchair cross a busy intersection,caring,implicit,incongruent,,0,10,10,28,,,,,,,,,,,,,,,,,,,,,6,125,2019_Oct_23_1116,trustSTIs,3.0.0b12,59.88877441842189,
M027C,faces/M027C.jpg,4.682963673,Untrustworthy,Ignored a man bleeding on the sidewalk,giving,mismatch,congruent,,0,11,11,23,,,,,,,,,,,,,,,,,,,,,6,125,2019_Oct_23_1116,trustSTIs,3.0.0b12,59.88877441842189,
