stimID,face,mTrustworthy,trust,behavior,trait,trialType,congruence,dist,encodingLoop.thisRepN,encodingLoop.thisTrialN,encodingLoop.thisN,encodingLoop.thisIndex,distLoop.thisRepN,distLoop.thisTrialN,distLoop.thisN,distLoop.thisIndex,recognitionLoop.thisRepN,recognitionLoop.thisTrialN,recognitionLoop.thisN,recognitionLoop.thisIndex,distAnswers.keys,distAnswers.rt,keyResp.keys,keyResp.rt,ageRate.response,ageRate.rt,eflResp.keys,eflResp.rt,genderResp.keys,genderResp.rt,ethResp.keys,ethResp.rt,condition,participant,date,expName,psychopyVersion,frameRate,
M022C,faces/M022C.jpg,5.7741936,Trustworthy,Helped a lost child find his parents at a mall,dishonest,mismatch,congruent,,0,0,0,4,,,,,,,,,,,,,,,,,,,,,3,104,2019_Oct_22_0815,trustSTIs,3.0.0b12,59.89150059591591,
M067C,faces/M067C.jpg,4.9541331,Untrustworthy,Pushed a lost child out of their way and ignored her cries for help,cruel,implicit,congruent,,0,1,1,29,,,,,,,,,,,,,,,,,,,,,3,104,2019_Oct_22_0815,trustSTIs,3.0.0b12,59.89150059591591,
M087C,faces/M087C.jpg,6.061491925,Trustworthy,Was cowardly and hit a car and left the scene of the accident,cowardly,explicit,incongruent,,0,2,2,17,,,,,,,,,,,,,,,,,,,,,3,104,2019_Oct_22_0815,trustSTIs,3.0.0b12,59.89150059591591,
M092C,faces/M092C.jpg,4.779737903,Untrustworthy,Was sexist and heckled a woman speaking on human rights,sexist,explicit,congruent,,0,3,3,35,,,,,,,,,,,,,,,,,,,,,3,104,2019_Oct_22_0815,trustSTIs,3.0.0b12,59.89150059591591,
M032C,faces/M032C.jpg,4.74092746,Untrustworthy,Got up early to drive a roommate to the airport,thieving,mismatch,incongruent,,0,4,4,23,,,,,,,,,,,,,,,,,,,,,3,104,2019_Oct_22_0815,trustSTIs,3.0.0b12,59.89150059591591,
M006C,faces/M006C.jpg,6.0640122,Trustworthy,Helped a man in a wheelchair cross a busy intersection,caring,implicit,congruent,,0,5,5,1,,,,,,,,,,,,,,,,,,,,,3,104,2019_Oct_22_0815,trustSTIs,3.0.0b12,59.89150059591591,
M042C,faces/M042C.jpg,5.596522235,Trustworthy,Was compassionate and took care of their parent during an illness,compassionate,explicit,congruent,,0,6,6,8,,,,,,,,,,,,,,,,,,,,,3,104,2019_Oct_22_0815,trustSTIs,3.0.0b12,59.89150059591591,
M061C,faces/M061C.jpg,4.652721745,Untrustworthy,Stole money and jewelry from the relatives he was living with,greedy,implicit,congruent,,0,7,7,27,,,,,,,,,,,,,,,,,,,,,3,104,2019_Oct_22_0815,trustSTIs,3.0.0b12,59.89150059591591,
M086C,faces/M086C.jpg,4.845010075,Untrustworthy,Was arrogant and went out of their way to ignore some new coworkers for several weeks,arrogant,explicit,congruent,,0,8,8,34,,,,,,,,,,,,,,,,,,,,,3,104,2019_Oct_22_0815,trustSTIs,3.0.0b12,59.89150059591591,
M031C,faces/M031C.jpg,5.921622915,Trustworthy,Was honest and returned a lost wallet,honest,explicit,congruent,,0,9,9,7,,,,,,,,,,,,,,,,,,,,,3,104,2019_Oct_22_0815,trustSTIs,3.0.0b12,59.89150059591591,
