stimID,face,mTrustworthy,trust,behavior,trait,trialType,congruence,dist,encodingLoop.thisRepN,encodingLoop.thisTrialN,encodingLoop.thisN,encodingLoop.thisIndex,distLoop.thisRepN,distLoop.thisTrialN,distLoop.thisN,distLoop.thisIndex,recognitionLoop.thisRepN,recognitionLoop.thisTrialN,recognitionLoop.thisN,recognitionLoop.thisIndex,distAnswers.keys,distAnswers.rt,keyResp.keys,keyResp.rt,ageRate.response,ageRate.rt,eflResp.keys,eflResp.rt,genderResp.keys,genderResp.rt,ethResp.keys,ethResp.rt,condition,participant,date,expName,psychopyVersion,frameRate,
M076C,faces/M076C.jpg,4.724042295,Untrustworthy,Took a ten-dollar bill from their roommate's dresser without asking,responsible,mismatch,congruent,,0,0,0,32,,,,,,,,,,,,,,,,,,,,,3,014,2019_Oct_10_1410,trustSTIs,3.0.0b12,59.89896244179686,
M026C,faces/M026C.jpg,5.823084825,Trustworthy,Paid for a taxi to take an intoxicated man to his residence,cold,mismatch,congruent,,0,1,1,5,,,,,,,,,,,,,,,,,,,,,3,014,2019_Oct_10_1410,trustSTIs,3.0.0b12,59.89896244179686,
M072C,faces/M072C.jpg,4.8732359,Untrustworthy,Cursed out a co-worker for their incompetence,generous,mismatch,congruent,,0,2,2,31,,,,,,,,,,,,,,,,,,,,,3,014,2019_Oct_10_1410,trustSTIs,3.0.0b12,59.89896244179686,
M066C,faces/M066C.jpg,4.707409208,Untrustworthy,Attempted to rape a woman who was walking down a dark street,immoral,implicit,congruent,,0,3,3,28,,,,,,,,,,,,,,,,,,,,,3,014,2019_Oct_10_1410,trustSTIs,3.0.0b12,59.89896244179686,
M014C,faces/M014C.jpg,5.649445575,Trustworthy,Saved a person from drowning,vain,mismatch,congruent,,0,4,4,3,,,,,,,,,,,,,,,,,,,,,3,014,2019_Oct_10_1410,trustSTIs,3.0.0b12,59.89896244179686,
M029C,faces/M029C.jpg,5.814516125,Trustworthy,Was warm and provided food and clothing for flood victims,warm,explicit,congruent,,0,5,5,6,,,,,,,,,,,,,,,,,,,,,3,014,2019_Oct_10_1410,trustSTIs,3.0.0b12,59.89896244179686,
M058C,faces/M058C.jpg,6.1066028,Trustworthy,Was very concerned about their personal appearance,heroic,mismatch,incongruent,,0,6,6,12,,,,,,,,,,,,,,,,,,,,,3,014,2019_Oct_10_1410,trustSTIs,3.0.0b12,59.89896244179686,
M077C,faces/M077C.jpg,6.415070475,Trustworthy,Was insensitive and insulted a stranger by making a racial slur,insensitive,explicit,incongruent,,0,7,7,16,,,,,,,,,,,,,,,,,,,,,3,014,2019_Oct_10_1410,trustSTIs,3.0.0b12,59.89896244179686,
M037C,faces/M037C.jpg,4.31502017,Untrustworthy,Was respectful and held the doors to the subway for an elderly woman with a walker,respectful,explicit,incongruent,,0,8,8,25,,,,,,,,,,,,,,,,,,,,,3,014,2019_Oct_10_1410,trustSTIs,3.0.0b12,59.89896244179686,
M032C,faces/M032C.jpg,4.74092746,Untrustworthy,Got up early to drive a roommate to the airport,thieving,mismatch,incongruent,,0,9,9,23,,,,,,,,,,,,,,,,,,,,,3,014,2019_Oct_10_1410,trustSTIs,3.0.0b12,59.89896244179686,
