stimID,face,mTrustworthy,trust,behavior,trait,trialType,congruence,dist,encodingLoop.thisRepN,encodingLoop.thisTrialN,encodingLoop.thisN,encodingLoop.thisIndex,distLoop.thisRepN,distLoop.thisTrialN,distLoop.thisN,distLoop.thisIndex,recognitionLoop.thisRepN,recognitionLoop.thisTrialN,recognitionLoop.thisN,recognitionLoop.thisIndex,distAnswers.keys,distAnswers.rt,keyResp.keys,keyResp.rt,ageRate.response,ageRate.rt,eflResp.keys,eflResp.rt,genderResp.keys,genderResp.rt,ethResp.keys,ethResp.rt,condition,participant,date,expName,psychopyVersion,frameRate,
M014C,faces/M014C.jpg,5.649445575,Trustworthy,Ridiculed people behind their backs,reliable,mismatch,incongruent,,0,0,0,3,,,,,,,,,,,,,,,,,,,,,6,143,2019_Oct_24_1022,trustSTIs,3.0.0b12,59.8937967102657,
M087C,faces/M087C.jpg,6.061491925,Trustworthy,Was respectful and held the doors to the subway for an elderly woman with a walker,respectful,explicit,congruent,,0,1,1,16,,,,,,,,,,,,,,,,,,,,,6,143,2019_Oct_24_1022,trustSTIs,3.0.0b12,59.8937967102657,
M027C,faces/M027C.jpg,4.682963673,Untrustworthy,Ignored a man bleeding on the sidewalk,giving,mismatch,congruent,,0,2,2,23,,,,,,,,,,,,,,,,,,,,,6,143,2019_Oct_24_1022,trustSTIs,3.0.0b12,59.8937967102657,
M070C,faces/M070C.jpg,4.7144657,Untrustworthy,Saved a person from drowning,vain,mismatch,incongruent,,0,3,3,30,,,,,,,,,,,,,,,,,,,,,6,143,2019_Oct_24_1022,trustSTIs,3.0.0b12,59.8937967102657,
M017C,faces/M017C.jpg,4.724042335,Untrustworthy,Could not remember the birthdays of their family members,selfish,implicit,congruent,,0,4,4,19,,,,,,,,,,,,,,,,,,,,,6,143,2019_Oct_24_1022,trustSTIs,3.0.0b12,59.8937967102657,
M092C,faces/M092C.jpg,4.779737903,Untrustworthy,Was compassionate took care of their parent during an illness,compassionate,explicit,incongruent,,0,5,5,35,,,,,,,,,,,,,,,,,,,,,6,143,2019_Oct_24_1022,trustSTIs,3.0.0b12,59.8937967102657,
M029C,faces/M029C.jpg,5.814516125,Trustworthy,Was callous and told a racist joke at a party,callous,explicit,incongruent,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,6,143,2019_Oct_24_1022,trustSTIs,3.0.0b12,59.8937967102657,
M020C,faces/M020C.jpg,4.750000023,Untrustworthy,Was very concerned about their personal appearance,heroic,mismatch,congruent,,0,7,7,21,,,,,,,,,,,,,,,,,,,,,6,143,2019_Oct_24_1022,trustSTIs,3.0.0b12,59.8937967102657,
M004C,faces/M004C.jpg,6.470262,Trustworthy,Stole money and jewelry from the relatives he was living with,greedy,implicit,incongruent,,0,8,8,0,,,,,,,,,,,,,,,,,,,,,6,143,2019_Oct_24_1022,trustSTIs,3.0.0b12,59.8937967102657,
M026C,faces/M026C.jpg,5.823084825,Trustworthy,Took a ten-dollar bill from their roommate's dresser without asking,responsible,mismatch,incongruent,,0,9,9,5,,,,,,,,,,,,,,,,,,,,,6,143,2019_Oct_24_1022,trustSTIs,3.0.0b12,59.8937967102657,
M013C,faces/M013C.jpg,6.035534283,Trustworthy,Pushed a lost child out of their way and ignored her cries for help,cruel,implicit,incongruent,,0,10,10,2,,,,,,,,,,,,,,,,,,,,,6,143,2019_Oct_24_1022,trustSTIs,3.0.0b12,59.8937967102657,
M086C,faces/M086C.jpg,4.845010075,Untrustworthy,Was honest and returned a lost wallet,honest,explicit,incongruent,,0,11,11,34,,,,,,,,,,,,,,,,,,,,,6,143,2019_Oct_24_1022,trustSTIs,3.0.0b12,59.8937967102657,
M051C,faces/M051C.jpg,5.67212695,Trustworthy,Kept the music down for their roommates,attentive,implicit,congruent,,0,12,12,11,,,,,,,,,,,,,,,,,,,,,6,143,2019_Oct_24_1022,trustSTIs,3.0.0b12,59.8937967102657,
M042C,faces/M042C.jpg,5.596522235,Trustworthy,Was sexist and heckled a woman speaking on human rights,sexist,explicit,incongruent,,0,13,13,8,,,,,,,,,,,,,,,,,,,,,6,143,2019_Oct_24_1022,trustSTIs,3.0.0b12,59.8937967102657,
M066C,faces/M066C.jpg,4.707409208,Untrustworthy,Helped a man in a wheelchair cross a busy intersection,caring,implicit,incongruent,,0,14,14,28,,,,,,,,,,,,,,,,,,,,,6,143,2019_Oct_24_1022,trustSTIs,3.0.0b12,59.8937967102657,
M031C,faces/M031C.jpg,5.921622915,Trustworthy,Was arrogant and went out of their way to ignore some new coworkers for several weeks,arrogant,explicit,incongruent,,0,15,15,7,,,,,,,,,,,,,,,,,,,,,6,143,2019_Oct_24_1022,trustSTIs,3.0.0b12,59.8937967102657,
M071C,faces/M071C.jpg,5.923639075,Trustworthy,Got up early to drive a roommate to the airport,thieving,mismatch,congruent,,0,16,16,14,,,,,,,,,,,,,,,,,,,,,6,143,2019_Oct_24_1022,trustSTIs,3.0.0b12,59.8937967102657,
M032C,faces/M032C.jpg,4.74092746,Untrustworthy,Was untrustworthy and stole and used their mother's prescription medication,untrustworthy,explicit,congruent,,0,17,17,24,,,,,,,,,,,,,,,,,,,,,6,143,2019_Oct_24_1022,trustSTIs,3.0.0b12,59.8937967102657,
